hjd,camera,mag,mag_err,flux,flux_err
2456943.08615,ba,15.918,0.07763,1.647,0.118
2457786.99929,ba,15.956,0.07976,1.59,0.117
2458110.09522,ba,15.875,0.07527,1.713,0.119
2457784.05897,ba,15.724,0.06748,1.969,0.122
2457077.84677,ba,15.923,0.07791,1.64,0.118
2457314.0877,ba,16.091,0.0877,1.405,0.113
2457758.93711,ba,16.255,0.09804,1.207,0.109
2457852.79416,ba,15.857,0.07431,1.742,0.119
2457020.96539,ba,15.958,0.07988,1.588,0.117
2457144.79905,ba,16.303,0.10119,1.155,0.108
2456980.00324,ba,15.99,0.08171,1.541,0.116
2457369.97226,ba,16.069,0.08637,1.433,0.114
2458147.90237,ba,16.159,0.0919,1.319,0.112
2458132.05146,ba,15.697,0.06617,2.019,0.123
2457362.15289,ba,16.326,0.10272,1.131,0.107
2458125.07823,ba,16.295,0.10067,1.164,0.108
2457447.81852,ba,16.222,0.0959,1.244,0.11
2457825.88412,ba,16.735,0.13099,0.776,0.094
2457509.78804,ba,16.103,0.08843,1.389,0.113
2458184.7561,ba,16.292,0.10047,1.167,0.108
2456344.83962,ba,16.167,0.0924,1.31,0.111
2457391.12144,ba,16.114,0.08911,1.376,0.113
2457840.90189,ba,16.293,0.10053,1.167,0.108
2457476.76661,ba,15.977,0.08096,1.56,0.116
2458071.02497,ba,16.133,0.09028,1.351,0.112
2457870.80678,ba,16.206,0.09488,1.264,0.11
2457672.10522,ba,16.017,0.08328,1.504,0.115
2457826.74932,ba,16.427,0.10955,1.03,0.104
2457844.86104,ba,15.835,0.07314,1.777,0.12
2457364.07278,ba,16.247,0.09752,1.216,0.109
2457050.96545,ba,16.216,0.09552,1.251,0.11
2457498.82004,ba,15.71,0.0668,1.995,0.123
2457452.88858,ba,16.232,0.09655,1.234,0.11
2458130.09887,ba,16.149,0.09128,1.332,0.112
2457049.82685,ba,16.942,0.14502,0.642,0.086
2458117.89508,ba,16.13,0.09009,1.355,0.112
2457444.78371,ba,16.055,0.08553,1.452,0.114
2457504.79102,ba,16.007,0.0827,1.518,0.115
2458054.06195,ba,16.34,0.10366,1.117,0.107
2457043.95762,ba,16.029,0.08399,1.487,0.115
2456971.02249,ba,16.372,0.10581,1.084,0.106
2457035.10511,ba,16.069,0.08637,1.433,0.114
2457076.99346,ba,15.882,0.07565,1.703,0.119
2458056.05764,ba,16.312,0.10179,1.145,0.107
2457703.10068,ba,16.385,0.10669,1.071,0.105
2457451.92378,ba,16.158,0.09184,1.321,0.112
2456923.1254,ba,15.829,0.07282,1.787,0.12
2457457.90263,ba,16.219,0.09571,1.248,0.11
2457432.78813,ba,16.443,0.11065,1.016,0.103
2457306.11531,ba,16.141,0.09078,1.342,0.112
2457671.11077,ba,15.825,0.07261,1.794,0.12
2457420.99073,ba,15.988,0.08159,1.545,0.116
2457317.08843,ba,16.127,0.08991,1.358,0.112
2457416.91719,ba,16.352,0.10446,1.105,0.106
2456778.79653,ba,16.21,0.09513,1.259,0.11
2457831.8166,ba,16.341,0.10373,1.116,0.106
2457443.86901,ba,15.796,0.0711,1.844,0.121
2456801.73836,ba,16.721,0.13001,0.786,0.094
2457464.81594,ba,15.983,0.08131,1.551,0.116
2457711.11586,ba,16.081,0.08709,1.417,0.114
2457859.83939,ba,15.819,0.0723,1.805,0.12
2457096.75828,ba,15.962,0.0801,1.582,0.117
2457333.15158,ba,15.845,0.07367,1.762,0.119
2457835.83867,ba,16.158,0.09184,1.32,0.112
2457424.94677,ba,16.194,0.09411,1.277,0.111
2457798.89747,ba,16.276,0.09941,1.184,0.108
2457395.10417,ba,15.898,0.07653,1.678,0.118
2457757.88347,ba,15.785,0.07054,1.861,0.121
2457807.99005,ba,16.306,0.10139,1.152,0.107
2457847.83789,ba,15.918,0.07763,1.647,0.118
2456796.75396,ba,16.056,0.08559,1.451,0.114
2458128.10562,ba,15.875,0.07527,1.714,0.119
2458131.03295,ba,16.225,0.0961,1.241,0.11
2457131.83144,ba,16.251,0.09778,1.212,0.109
2457774.03136,ba,15.692,0.06593,2.028,0.123
2457023.89094,ba,16.041,0.0847,1.47,0.115
2458135.909,ba,15.793,0.07095,1.848,0.121
2458027.1203,ba,15.93,0.0783,1.628,0.117
2457415.8889,ba,15.982,0.08125,1.553,0.116
2457053.87972,ba,15.757,0.06912,1.91,0.121
2457404.91593,ba,16.138,0.09059,1.345,0.112
2457863.82876,ba,16.191,0.09392,1.281,0.111
2457048.07287,ba,16.234,0.09668,1.231,0.109
2456981.99621,ba,16.167,0.0924,1.309,0.111
2457511.78849,ba,16.165,0.09228,1.312,0.111
2457308.11435,ba,15.649,0.06389,2.11,0.124
2457132.78583,ba,16.085,0.08734,1.412,0.113
2457428.02729,ba,15.814,0.07203,1.813,0.12
2457678.08835,ba,15.641,0.06352,2.125,0.124
2457842.89445,ba,16.162,0.09209,1.316,0.111
2456968.0622,ba,15.963,0.08016,1.58,0.117
2458132.93947,ba,16.07,0.08643,1.432,0.114
2457881.75555,ba,15.992,0.08182,1.539,0.116
2457011.08321,ba,16.323,0.10252,1.134,0.107
2457830.91115,ba,16.253,0.09791,1.21,0.109
2457478.88464,ba,16.074,0.08667,1.426,0.114
2457366.94498,ba,16.008,0.08275,1.515,0.115
2457036.10607,ba,16.204,0.09475,1.266,0.11
2457696.10966,ba,15.825,0.07261,1.794,0.12
2457885.76025,ba,16.01,0.08287,1.513,0.115
2457365.95215,ba,16.222,0.0959,1.244,0.11
2457148.75,ba,15.929,0.07824,1.63,0.117
2457501.75181,ba,15.926,0.07808,1.635,0.117
2457510.78445,ba,16.185,0.09354,1.288,0.111
2457424.04427,ba,15.932,0.07841,1.626,0.117
2458037.11064,ba,15.958,0.07988,1.587,0.117
2457799.93663,ba,16.265,0.09869,1.197,0.109
2457417.91763,ba,16.031,0.0841,1.485,0.115
2457106.77894,ba,16.209,0.09507,1.26,0.11
2457397.95051,ba,16.168,0.09247,1.309,0.111
2457103.84578,ba,16.081,0.08709,1.418,0.114
2457418.94826,ba,16.085,0.08734,1.413,0.114
2458185.81027,ba,16.037,0.08446,1.477,0.115
2457816.75745,ba,16.344,0.10393,1.113,0.106
2457012.05659,ba,15.596,0.06147,2.217,0.125
2457882.74791,ba,15.886,0.07587,1.696,0.118
2457125.85487,ba,15.996,0.08206,1.533,0.116
2457735.95409,ba,16.37,0.10568,1.087,0.106
2456982.9927,ba,15.865,0.07473,1.729,0.119
2457415.04156,ba,16.145,0.09103,1.337,0.112
2457310.09703,ba,16.14,0.09071,1.343,0.112
2457430.82183,ba,16.275,0.09935,1.185,0.108
2457513.78162,ba,15.597,0.06151,2.213,0.125
2457073.9405,ba,16.444,0.11072,1.015,0.103
2457402.84993,ba,16.325,0.10266,1.133,0.107
2458078.07422,ba,16.227,0.09623,1.239,0.11
2457442.90661,ba,15.784,0.07049,1.864,0.121
2457454.77845,ba,15.982,0.08125,1.553,0.116
2457119.8673,ba,15.922,0.07785,1.641,0.118
2457669.11644,ba,16.11,0.08886,1.38,0.113
2457841.89808,ba,16.033,0.08422,1.481,0.115
2458126.08634,ba,16.149,0.09128,1.332,0.112
2457407.83269,ba,16.221,0.09584,1.246,0.11
2457792.59788,be,16.518,99.99,0.938,0.19
2457479.8338,ba,16.149,0.09128,1.332,0.112
2456999.01483,ba,16.322,0.10246,1.135,0.107
2457512.7848,ba,16.031,0.0841,1.484,0.115
2457433.77694,ba,16.18,0.09322,1.294,0.111
2457689.12597,ba,15.959,0.07993,1.587,0.117
2457801.98838,ba,15.782,0.07038,1.866,0.121
2458141.89603,ba,16.284,0.09994,1.176,0.108
2456369.84231,ba,16.121,0.08954,1.367,0.113
2457869.80656,ba,16.05,0.08523,1.459,0.114
2458161.98297,ba,16.01,0.08287,1.513,0.115
2458119.02262,ba,16.154,0.09159,1.325,0.112
2457797.98056,ba,16.055,0.08553,1.452,0.114
2457315.08354,ba,16.415,0.10873,1.042,0.104
2457130.82254,ba,15.862,0.07457,1.734,0.119
2457738.01132,ba,16.312,0.10179,1.146,0.107
2457311.09279,ba,15.914,0.07741,1.654,0.118
2457434.76977,ba,15.969,0.0805,1.572,0.116
2456658.87723,ba,16.159,0.0919,1.319,0.112
2457481.8799,ba,15.996,0.08206,1.532,0.116
2457040.95753,ba,16.074,0.08667,1.427,0.114
2457460.884,ba,15.861,0.07452,1.736,0.119
2457845.76365,ba,16.052,0.08535,1.456,0.114
2456986.98072,ba,16.013,0.08305,1.509,0.115
2457707.01326,ba,16.167,0.0924,1.309,0.111
2457037.09504,ba,15.816,0.07214,1.809,0.12
2457406.04887,ba,16.135,0.0904,1.348,0.112
2457834.91171,ba,15.972,0.08067,1.568,0.116
2457363.10265,ba,16.112,0.08898,1.378,0.113
2457880.77059,ba,16.11,0.08886,1.381,0.113
2457309.10395,ba,16.083,0.08721,1.415,0.114
2457101.91262,ba,16.185,0.09354,1.288,0.111
2457736.93522,ba,15.77,0.06977,1.887,0.121
2458129.10226,ba,15.985,0.08142,1.549,0.116
2457429.82214,ba,16.11,0.08886,1.381,0.113
2456272.08928,ba,16.163,0.09215,1.315,0.111
2457705.03596,ba,16.238,0.09694,1.227,0.109
2457403.86109,ba,16.007,0.0827,1.518,0.115
2457488.83346,ba,15.899,0.07658,1.676,0.118
2457324.0578,ba,16.108,0.08874,1.383,0.113
2457017.8907,ba,15.899,0.07658,1.676,0.118
2457483.77137,ba,15.722,0.06738,1.973,0.122
2456638.93286,ba,16.011,0.08293,1.512,0.115
2457072.77084,ba,15.916,0.07752,1.65,0.118
2457720.08202,ba,16.25,0.09772,1.213,0.109
2456983.98411,ba,16.088,0.08752,1.409,0.113
2457839.89791,ba,15.832,0.07298,1.783,0.12
2457072.01786,ba,16.067,0.08625,1.436,0.114
2456979.0018,ba,16.022,0.08357,1.497,0.115
2457105.86512,ba,16.022,0.08357,1.496,0.115
2456936.11365,ba,16.296,0.10073,1.163,0.108
2457500.80896,ba,16.592,99.99,0.783,0.177
2457318.07684,ba,15.712,0.06689,1.991,0.123
2457774.94462,ba,16.067,0.08625,1.436,0.114
2457070.00647,ba,15.907,0.07702,1.663,0.118
2457437.76819,ba,16.034,0.08428,1.48,0.115
2457469.84728,ba,16.271,0.09909,1.19,0.108
2458154.03358,ba,16.348,0.10419,1.109,0.106
2457396.87311,ba,15.934,0.07852,1.623,0.117
2457368.94926,ba,16.033,0.08422,1.481,0.115
2457121.80315,ba,16.159,0.0919,1.319,0.112
2457409.82955,ba,16.021,0.08352,1.498,0.115
2457507.79946,ba,16.157,0.09178,1.322,0.112
2457419.99047,ba,16.316,0.10206,1.141,0.107
2457399.89456,ba,16.069,0.08637,1.433,0.114
2457047.06875,ba,16.172,0.09272,1.303,0.111
2458102.04094,ba,16.122,0.0896,1.364,0.112
2457471.79085,ba,16.536,0.11709,0.932,0.1
2456991.1341,ba,16.23,0.09642,1.235,0.11
2457128.84855,ba,16.282,0.09981,1.178,0.108
2457044.98805,ba,15.714,0.06699,1.988,0.123
2456700.92417,ba,16.264,0.09863,1.198,0.109
2457343.00835,ba,16.145,0.09103,1.336,0.112
2457038.08764,ba,16.538,0.11722,0.931,0.1
2457526.73873,ba,15.898,0.07653,1.677,0.118
2457388.07945,ba,16.046,0.08499,1.464,0.114
2457109.78969,ba,16.156,0.09171,1.322,0.112
2457459.80963,ba,16.191,0.09392,1.281,0.111
2457098.891,ba,16.13,0.09009,1.355,0.112
2457322.07001,ba,16.541,99.99,0.865,0.186
2458024.1258,ba,16.016,0.08322,1.505,0.115
2458138.93637,ba,16.244,0.09733,1.22,0.109
2457788.96628,ba,16.167,0.0924,1.31,0.111
2457763.88627,ba,16.219,0.09571,1.248,0.11
2456682.0138,ba,16.036,0.0844,1.478,0.115
2457045.97665,ba,16.165,0.09228,1.313,0.111
2457010.08273,ba,16.154,0.09159,1.325,0.112
2456988.9684,ba,16.211,0.0952,1.258,0.11
2457124.80447,ba,16.114,0.08911,1.375,0.113
2457078.75949,ba,16.088,0.08752,1.408,0.113
